gemeindecode_cbs,gemeindename,longitude,latitude
0998,Buitenland,4.9315357737340175,51.437815404096604
0034,Almere,5.1533873925553,52.44742578638339
0050,Zeewolde,5.520536205898048,52.31916171727861
0060,Ameland,5.764677322927228,53.425341307053365
0072,Harlingen,5.254511808463546,53.140827603964766
0088,Schiermonnikoog,6.221192321190197,53.46988680118403
0093,Terschelling,5.381702469544115,53.33121582555783
0096,Vlieland,5.043879059535463,53.21368757224276
0166,Kampen,5.825782603401272,52.592078938156284
0171,Noordoostpolder,5.58888543834032,52.728066962828656
0184,Urk,5.462262674581156,52.69697647173614
0230,Elburg,5.8192582302802744,52.4527602598524
0233,Ermelo,5.560646313257834,52.315861516464544
0243,Harderwijk,5.597418641944936,52.34903493547121
0267,Nijkerk,5.441212782628167,52.254112296998954
0269,Oldebroek,5.8525806928812525,52.49274412123309
0273,Putten,5.518325259060419,52.27011914082353
0302,Nunspeet,5.7229829507823755,52.39298665869458
0303,Dronten,5.669619912137589,52.54088210474256
0313,Bunschoten,5.3587899306109,52.27034572897821
0317,Eemnes,5.32483200327076,52.28008959333965
0363,Amsterdam,5.028528018911564,52.38033365023529
0373,Bergen (NH.),4.6195218828242455,52.66178302151945
0375,Beverwijk,4.576530715678124,52.49580722297328
0376,Blaricum,5.31049535431358,52.291744958308385
0377,Bloemendaal,4.544087851353536,52.42058624459838
0383,Castricum,4.596562105584921,52.55362087589503
0384,Diemen,5.031361104951885,52.3472530633443
0385,Edam-Volendam,5.0620346143545945,52.55005497756069
0388,Enkhuizen,5.307379739930929,52.75999245288994
0396,Heemskerk,4.5855536975344595,52.51652857648708
0400,Den Helder,4.79653884932474,52.946217316162475
0405,Hoorn,5.073140216665834,52.613107803078094
0406,Huizen,5.264120804698529,52.31253308628972
0420,Medemblik,5.187227932158809,52.8176322090458
0441,Schagen,4.674555754152519,52.82194543160232
0448,Texel,4.911733227965655,53.07933265543437
0453,Velsen,4.554142410657314,52.46513726162915
0473,Zandvoort,4.509792621699353,52.36635940538759
0498,Drechterland,5.196574641215553,52.63790133187308
0505,Dordrecht,4.63179410276415,51.719097492020175
0518,'s-Gravenhage,4.243767408761586,52.09644597075809
0532,Stede Broec,5.258382015518038,52.68245018095256
0537,Katwijk,4.3823625557413735,52.20603396039616
0575,Noordwijk,4.444013128076836,52.27658188702951
0599,Rotterdam,4.006455754838685,51.97068104336957
0629,Wassenaar,4.332835209550338,52.16052568802409
0654,Borsele,3.858360920896364,51.39577924417069
0664,Goes,3.838005570607596,51.541941572039455
0677,Hulst,4.059386225569936,51.382540366054386
0678,Kapelle,3.9799352270083777,51.52851446780896
0687,Middelburg,3.7015860673652137,51.524976803634914
0703,Reimerswaal,4.106346670426645,51.44532789432649
0715,Terneuzen,3.7915146406959868,51.36466545896134
0716,Tholen,4.064279285835794,51.56642103186988
0717,Veere,3.6369265474260897,51.609045540530566
0718,Vlissingen,3.4651410945491685,51.46593057268738
0851,Steenbergen,4.300119948778835,51.645486333548014
0852,Waterland,5.108609928387473,52.445864833356346
0995,Lelystad,5.325778613483005,52.575165024999976
1598,Koggenland,5.021005677952232,52.61994395558577
1676,Schouwen-Duiveland,3.8657834124368686,51.67738928878977
1695,Noord-Beveland,3.8571776230619568,51.571103192890206
1708,Steenwijkerland,6.001336376198739,52.652153842861956
1709,Moerdijk,4.4840902708629855,51.69247192850903
1714,Sluis,3.614756807276853,51.39006515946901
1783,Westland,4.152553843712203,52.030146110939434
1895,Oldambt,7.157040042747172,53.287128170886646
1896,Zwartewaterland,6.000802089512978,52.633001622978455
1900,Súdwest-Fryslân,5.31027633735154,52.95134492559326
1911,Hollands Kroon,5.049255091508463,52.95840261413002
1924,Goeree-Overflakkee,4.059309164044059,51.76036774218289
1930,Nissewaard,4.2112333441321095,51.79319506735572
1940,De Fryske Marren,5.503308176999374,52.81399987188219
1942,Gooise Meren,5.1061371298074265,52.34305313739803
1949,Waadhoeke,5.614361704602942,53.30995472012856
1963,Hoeksche Waard,4.401004552418458,51.72351056891059
1966,Het Hogeland,6.545141323396506,53.48474321662199
1969,Westerkwartier,6.291732916596598,53.33738093141404
1970,Noardeast-Fryslân,5.9616782364147145,53.40769596046694
1979,Eemsdelta,6.982639268339368,53.35047971722916
1992,Voorne aan Zee,4.045324493288935,51.86224131820181
0014,Groningen,6.620666915188293,53.21862450644925
0034,Almere,5.246607981786526,52.36719475347943
0037,Stadskanaal,7.010322126734579,53.00217144931023
0047,Veendam,6.880091552967472,53.08899046402289
0050,Zeewolde,5.4510823635847006,52.34599700529452
0059,Achtkarspelen,6.143136256437453,53.216679938535755
0060,Ameland,5.74948950136983,53.45040157945139
0072,Harlingen,5.451739435602597,53.17537131439405
0074,Heerenveen,5.977910749849012,52.99598652726442
0080,Leeuwarden,5.797895347377745,53.1700763570618
0085,Ooststellingwerf,6.282998491068073,52.98238092511084
0086,Opsterland,6.112847944868967,53.04914211151318
0088,Schiermonnikoog,6.226654308640051,53.49119928661789
0090,Smallingerland,6.038961145663254,53.11341180894078
0093,Terschelling,5.329194499864418,53.39757262855567
0096,Vlieland,4.975200911581145,53.2585555882068
0098,Weststellingwerf,6.017773797769423,52.87574112848101
0106,Assen,6.552482812917245,53.0012878923859
0109,Coevorden,6.735915097654464,52.74030778568795
0114,Emmen,6.9619846618045,52.74971781666774
0118,Hoogeveen,6.5135531824096,52.72310359067763
0119,Meppel,6.193813401088089,52.71593799481339
0141,Almelo,6.658197432188334,52.34790245438297
0147,Borne,6.743560129372737,52.31233169458754
0148,Dalfsen,6.276648031139832,52.51476124774748
0150,Deventer,6.235793679649126,52.268229672280285
0153,Enschede,6.877808545022504,52.220814387847255
0158,Haaksbergen,6.755840997698099,52.1554985903994
0160,Hardenberg,6.574074833926337,52.58564174502557
0163,Hellendoorn,6.4509175457391255,52.38638332249684
0164,Hengelo,6.778222660538172,52.254918252444234
0166,Kampen,5.931350617302119,52.555588478327046
0168,Losser,7.002750968586257,52.30284486920009
0171,Noordoostpolder,5.768063027592839,52.71270932899885
0173,Oldenzaal,6.911043433481752,52.307726946938566
0175,Ommen,6.434754810660125,52.51614425792763
0177,Raalte,6.279019464843874,52.387857590727414
0180,Staphorst,6.207083792410484,52.63350686626961
0183,Tubbergen,6.776673506440546,52.41059278096539
0184,Urk,5.622909821208849,52.664855163528685
0189,Wierden,6.5606139470795,52.34446453397933
0193,Zwolle,6.118365610587071,52.51870031912645
0197,Aalten,6.560611715242352,51.92174804076977
0200,Apeldoorn,5.92184493670678,52.18988523368285
0202,Arnhem,5.892591593440785,52.00115604779816
0203,Barneveld,5.641901910881583,52.16828543575402
0209,Beuningen,5.740270322194707,51.862813032700714
0213,Brummen,6.118512522267269,52.10897514176193
0214,Buren,5.40365571664435,51.93832081284386
0216,Culemborg,5.210387801702413,51.94577863166373
0221,Doesburg,6.146904145329746,52.01867416086289
0222,Doetinchem,6.286691799194887,51.960771911102874
0225,Druten,5.6121476649115225,51.87501338360266
0226,Duiven,6.018177036235044,51.946553243027914
0228,Ede,5.7280372722171675,52.07642304371586
0230,Elburg,5.8499687225550145,52.411995915039356
0232,Epe,5.954985289152281,52.32551946538046
0233,Ermelo,5.668224438462026,52.28769894829766
0243,Harderwijk,5.655203103228953,52.33949793328954
0244,Hattem,6.053254850479634,52.47478375877531
0246,Heerde,6.050334324106588,52.40606247553053
0252,Heumen,5.818494896278086,51.777886424906335
0262,Lochem,6.34680611159349,52.179475890734935
0263,Maasdriel,5.2969593825864525,51.77625221743372
0267,Nijkerk,5.485680932444912,52.21082193325367
0268,Nijmegen,5.836804295905294,51.838516906142935
0269,Oldebroek,5.937630167160042,52.45673601876634
0273,Putten,5.5843056890526706,52.24322937864069
0274,Renkum,5.784843264174438,51.989618303051905
0275,Rheden,6.051269134516454,52.0335463832675
0277,Rozendaal,5.967898465246665,52.04254609860403
0279,Scherpenzeel,5.500493338047314,52.089324132971605
0281,Tiel,5.406878708381434,51.88508448675846
0285,Voorst,6.099081409859948,52.225604935034504
0289,Wageningen,5.663516446953218,51.97347675321285
0293,Westervoort,5.970719163323944,51.95751959581008
0294,Winterswijk,6.725865138919065,51.96986944359943
0296,Wijchen,5.7018901793532475,51.81673612430135
0297,Zaltbommel,5.158429420308767,51.79227982457973
0299,Zevenaar,6.085216662045772,51.924147365400856
0301,Zutphen,6.233945353058763,52.13634276024702
0302,Nunspeet,5.7865765123100505,52.33897441318883
0303,Dronten,5.70179672916084,52.502331077290435
0307,Amersfoort,5.384698385305685,52.17365620015531
0308,Baarn,5.2641527578566425,52.203834166457895
0310,De Bilt,5.17430597425205,52.141741481869694
0312,Bunnik,5.216923302250994,52.040921032808804
0313,Bunschoten,5.358029515289288,52.23870908767946
0317,Eemnes,5.279668090185108,52.24987859264844
0321,Houten,5.181697806847252,52.004101856444976
0327,Leusden,5.416462352051087,52.12221993876451
0331,Lopik,4.945542390122417,51.98535333257299
0335,Montfoort,4.944044567436955,52.0477107711484
0339,Renswoude,5.53416537268043,52.06895095229713
0340,Rhenen,5.5605161686587765,51.98076721537207
0342,Soest,5.29628882485197,52.156198455811996
0344,Utrecht,5.0747454717327045,52.091138295861874
0345,Veenendaal,5.555655836621299,52.02367981321196
0351,Woudenberg,5.426629895036678,52.08115239072495
0352,Wijk bij Duurstede,5.325256101001406,51.989200881292504
0353,IJsselstein,5.028778713699876,52.02771546922527
0355,Zeist,5.255181769374807,52.10197570299834
