income_mean,woz_mean,log_density,migration_per_1000,employment_rate,labor_participation_net,longitude,latitude,is_randstad,province_Flevoland,province_Fryslân,province_Gelderland,province_Groningen,province_Limburg,province_Noord-Brabant,province_Noord-Holland,province_Overijssel,province_Utrecht,province_Zeeland,province_Zuid-Holland
-1.46197785523195,-0.8627858975401094,0.8444772731225176,2.495057154956218,-3.6413988147424785,-0.8152133055217412,6.62066691518829,53.2186245064492,0,False,False,False,True,False,False,False,False,False,False,False
-1.46197785523195,-0.8627858975401094,0.8444772731225176,2.495057154956218,-3.6413988147424785,-0.8152133055217412,6.62066691518829,53.2186245064492,0,False,False,False,True,False,False,False,False,False,False,False
-1.46197785523195,-0.8627858975401094,0.8444772731225176,2.495057154956218,-3.6413988147424785,-0.8152133055217412,6.62066691518829,53.2186245064492,0,False,False,False,True,False,False,False,False,False,False,False
-1.46197785523195,-0.8627858975401094,0.8444772731225176,2.495057154956218,-3.6413988147424785,-0.8152133055217412,6.62066691518829,53.2186245064492,0,False,False,False,True,False,False,False,False,False,False,False
-1.46197785523195,-0.8627858975401094,0.8444772731225176,2.495057154956218,-3.6413988147424785,-0.8152133055217412,6.62066691518829,53.2186245064492,0,False,False,False,True,False,False,False,False,False,False,False
-0.28108439045603123,-0.11067245188265394,1.1288642888978018,1.5757235952970592,-2.1277745006734836,0.0338580017030722,5.24660798178652,52.3671947534794,1,True,False,False,False,False,False,False,False,False,False,False
-0.28108439045603123,-0.11067245188265394,1.1288642888978018,1.5757235952970592,-2.1277745006734836,0.0338580017030722,5.24660798178652,52.3671947534794,1,True,False,False,False,False,False,False,False,False,False,False
-0.28108439045603123,-0.11067245188265394,1.1288642888978018,1.5757235952970592,-2.1277745006734836,0.0338580017030722,5.24660798178652,52.3671947534794,1,True,False,False,False,False,False,False,False,False,False,False
-0.28108439045603123,-0.11067245188265394,1.1288642888978018,1.5757235952970592,-2.1277745006734836,0.0338580017030722,5.24660798178652,52.3671947534794,1,True,False,False,False,False,False,False,False,False,False,False
-0.28108439045603123,-0.11067245188265394,1.1288642888978018,1.5757235952970592,-2.1277745006734836,0.0338580017030722,5.24660798178652,52.3671947534794,1,True,False,False,False,False,False,False,False,False,False,False
-0.9808731103232423,-1.4295960304993511,-0.6450697462137911,-1.0475935214673224,-0.6141501866045188,-1.5535361813694057,7.01032212673457,53.0021714493102,0,False,False,False,True,False,False,False,False,False,False,False
-0.9808731103232423,-1.4295960304993511,-0.6450697462137911,-1.0475935214673224,-0.6141501866045188,-1.5535361813694057,7.01032212673457,53.0021714493102,0,False,False,False,True,False,False,False,False,False,False,False
-0.9808731103232423,-1.4295960304993511,-0.6450697462137911,-1.0475935214673224,-0.6141501866045188,-1.5535361813694057,7.01032212673457,53.0021714493102,0,False,False,False,True,False,False,False,False,False,False,False
