municipality_code,year,price_total,price_egw,price_mgw,ratio_price_model,ratio_price_realized,share_egw,share_mgw,housing_stock_egw_x,housing_stock_mgw_x,ratio_area,ratio_stock,gemeentenaam,population,bevolkingsdichtheid,households,woningvoorraad_total,housing_stock_egw_y,housing_stock_mgw_y,living_space_total,living_space_egw,living_space_mgw,income_mean,income_median,woz_mean,pipeline_total,pipeline_started,pipeline_permit,new_build_stock_tot,new_build_liv_space_tot,new_build_stock_egw,new_build_liv_space_egw,new_build_stock_mgw,new_build_liv_space_mgw,unemployment_rate,labor_participation_gross,labor_participation_net,employment_rate,population_jan1,population_dec31,migration_net,migration_per_1000,migration_rate,avg_space_egw,avg_space_mgw,ratio_egw_mgw,longitude,latitude,log_price_total,province_Flevoland,province_Fryslân,province_Gelderland,province_Groningen,province_Limburg,province_Noord-Brabant,province_Noord-Holland,province_Overijssel,province_Utrecht,province_Zeeland,province_Zuid-Holland,log_density,is_randstad
GM0014,2023,349931.0,417685.3710797114,306594.6003158988,1.3623376623376622,1.3623376623376622,0.3900990099009901,0.6099009900990099,47871.0,74844.0,1.844155844155844,0.6396103896103896,Groningen (gemeente),240957.5,1284.0,145760,124260.0,48340.0,75915.0,122715.0,47871.0,74844.0,-1.46197785523195,31800.0,-0.8627858975401094,2511.0,1319.0,1192.0,10380.0,88.0,3527.0,150.0,6853.0,56.0,4.8,74.8,-0.8152133055217412,-3.6413988147424785,238147.0,243768.0,5621.0,2.495057154956218,2.3603068692866174,0.9902978899462144,0.9858921161825728,1.3623376623376622,6.62066691518829,53.2186245064492,12.765491271173246,False,False,False,True,False,False,False,False,False,False,False,0.8444772731225176,0
GM0014,2023,349931.0,417685.3710797114,306594.6003158988,1.3623376623376622,1.3623376623376622,0.3900990099009901,0.6099009900990099,47871.0,74844.0,1.844155844155844,0.6396103896103896,Groningen (gemeente),240957.5,1284.0,145760,124260.0,48340.0,75915.0,122715.0,47871.0,74844.0,-1.46197785523195,31800.0,-0.8627858975401094,2511.0,1319.0,1192.0,10380.0,88.0,3527.0,150.0,6853.0,56.0,4.8,74.8,-0.8152133055217412,-3.6413988147424785,238147.0,243768.0,5621.0,2.495057154956218,2.3603068692866174,0.9902978899462144,0.9858921161825728,1.3623376623376622,6.62066691518829,53.2186245064492,12.765491271173246,False,False,False,True,False,False,False,False,False,False,False,0.8444772731225176,0
GM0014,2023,349931.0,417685.3710797114,306594.6003158988,1.3623376623376622,1.3623376623376622,0.3900990099009901,0.6099009900990099,47871.0,74844.0,1.844155844155844,0.6396103896103896,Groningen (gemeente),240957.5,1284.0,145760,124260.0,48340.0,75915.0,122715.0,47871.0,74844.0,-1.46197785523195,31800.0,-0.8627858975401094,2511.0,1319.0,1192.0,10380.0,88.0,3527.0,150.0,6853.0,56.0,4.8,74.8,-0.8152133055217412,-3.6413988147424785,238147.0,243768.0,5621.0,2.495057154956218,2.3603068692866174,0.9902978899462144,0.9858921161825728,1.3623376623376622,6.62066691518829,53.2186245064492,12.765491271173246,False,False,False,True,False,False,False,False,False,False,False,0.8444772731225176,0
GM0014,2023,349931.0,417685.3710797114,306594.6003158988,1.3623376623376622,1.3623376623376622,0.3900990099009901,0.6099009900990099,47871.0,74844.0,1.844155844155844,0.6396103896103896,Groningen (gemeente),240957.5,1284.0,145760,124260.0,48340.0,75915.0,122715.0,47871.0,74844.0,-1.46197785523195,31800.0,-0.8627858975401094,2511.0,1319.0,1192.0,10380.0,88.0,3527.0,150.0,6853.0,56.0,4.8,74.8,-0.8152133055217412,-3.6413988147424785,238147.0,243768.0,5621.0,2.495057154956218,2.3603068692866174,0.9902978899462144,0.9858921161825728,1.3623376623376622,6.62066691518829,53.2186245064492,12.765491271173246,False,False,False,True,False,False,False,False,False,False,False,0.8444772731225176,0
GM0014,2023,349931.0,417685.3710797114,306594.6003158988,1.3623376623376622,1.3623376623376622,0.3900990099009901,0.6099009900990099,47871.0,74844.0,1.844155844155844,0.6396103896103896,Groningen (gemeente),240957.5,1284.0,145760,124260.0,48340.0,75915.0,122715.0,47871.0,74844.0,-1.46197785523195,31800.0,-0.8627858975401094,2511.0,1319.0,1192.0,10380.0,88.0,3527.0,150.0,6853.0,56.0,4.8,74.8,-0.8152133055217412,-3.6413988147424785,238147.0,243768.0,5621.0,2.495057154956218,2.3603068692866174,0.9902978899462144,0.9858921161825728,1.3623376623376622,6.62066691518829,53.2186245064492,12.765491271173246,False,False,False,True,False,False,False,False,False,False,False,0.8444772731225176,0
GM0034,2023,424531.0,495255.35801005305,251950.9035706437,1.9656820078487631,1.9656820078487631,0.7093174550667107,0.2906825449332892,64328.0,26362.0,1.6493506493506491,2.4401790455959333,Almere,224662.5,1725.0,96660,92355.0,64965.0,27390.0,90690.0,64328.0,26362.0,-0.28108439045603123,50300.0,-0.11067245188265394,3116.0,1340.0,1776.0,10666.0,108.0,5613.0,144.0,5053.0,68.0,4.1,76.6,0.0338580017030722,-2.1277745006734836,222825.0,226500.0,3675.0,1.5757235952970592,1.649276337933356,0.990194720233972,0.9624680540343192,1.9656820078487631,5.24660798178652,52.3671947534794,12.958740309157886,True,False,False,False,False,False,False,False,False,False,False,1.1288642888978018,1
GM0034,2023,424531.0,495255.35801005305,251950.9035706437,1.9656820078487631,1.9656820078487631,0.7093174550667107,0.2906825449332892,64328.0,26362.0,1.6493506493506491,2.4401790455959333,Almere,224662.5,1725.0,96660,92355.0,64965.0,27390.0,90690.0,64328.0,26362.0,-0.28108439045603123,50300.0,-0.11067245188265394,3116.0,1340.0,1776.0,10666.0,108.0,5613.0,144.0,5053.0,68.0,4.1,76.6,0.0338580017030722,-2.1277745006734836,222825.0,226500.0,3675.0,1.5757235952970592,1.649276337933356,0.990194720233972,0.9624680540343192,1.9656820078487631,5.24660798178652,52.3671947534794,12.958740309157886,True,False,False,False,False,False,False,False,False,False,False,1.1288642888978018,1
GM0034,2023,424531.0,495255.35801005305,251950.9035706437,1.9656820078487631,1.9656820078487631,0.7093174550667107,0.2906825449332892,64328.0,26362.0,1.6493506493506491,2.4401790455959333,Almere,224662.5,1725.0,96660,92355.0,64965.0,27390.0,90690.0,64328.0,26362.0,-0.28108439045603123,50300.0,-0.11067245188265394,3116.0,1340.0,1776.0,10666.0,108.0,5613.0,144.0,5053.0,68.0,4.1,76.6,0.0338580017030722,-2.1277745006734836,222825.0,226500.0,3675.0,1.5757235952970592,1.649276337933356,0.990194720233972,0.9624680540343192,1.9656820078487631,5.24660798178652,52.3671947534794,12.958740309157886,True,False,False,False,False,False,False,False,False,False,False,1.1288642888978018,1
GM0034,2023,424531.0,495255.35801005305,251950.9035706437,1.9656820078487631,1.9656820078487631,0.7093174550667107,0.2906825449332892,64328.0,26362.0,1.6493506493506491,2.4401790455959333,Almere,224662.5,1725.0,96660,92355.0,64965.0,27390.0,90690.0,64328.0,26362.0,-0.28108439045603123,50300.0,-0.11067245188265394,3116.0,1340.0,1776.0,10666.0,108.0,5613.0,144.0,5053.0,68.0,4.1,76.6,0.0338580017030722,-2.1277745006734836,222825.0,226500.0,3675.0,1.5757235952970592,1.649276337933356,0.990194720233972,0.9624680540343192,1.9656820078487631,5.24660798178652,52.3671947534794,12.958740309157886,True,False,False,False,False,False,False,False,False,False,False,1.1288642888978018,1
GM0034,2023,424531.0,495255.35801005305,251950.9035706437,1.9656820078487631,1.9656820078487631,0.7093174550667107,0.2906825449332892,64328.0,26362.0,1.6493506493506491,2.4401790455959333,Almere,224662.5,1725.0,96660,92355.0,64965.0,27390.0,90690.0,64328.0,26362.0,-0.28108439045603123,50300.0,-0.11067245188265394,3116.0,1340.0,1776.0,10666.0,108.0,5613.0,144.0,5053.0,68.0,4.1,76.6,0.0338580017030722,-2.1277745006734836,222825.0,226500.0,3675.0,1.5757235952970592,1.649276337933356,0.990194720233972,0.9624680540343192,1.9656820078487631,5.24660798178652,52.3671947534794,12.958740309157886,True,False,False,False,False,False,False,False,False,False,False,1.1288642888978018,1
